entry_time,exit_time,seg,tf,dir,level,entry,sl,tp,exit,reason,pnl,pnl_net,mtr,sld,wait_h,trend_h4
2026-01-08 05:16:32.856248742,2026-01-08 06:31:48.128026561,GCG6,H1,-1,4432.9,4432.4,4439.0,4420.7,4439.0,sl,-6.6,-6.75,12.2,6.1,4.2758,1.0
2026-01-08 05:16:32.856248742,2026-01-08 07:09:06.222482322,GCG6,M15,-1,4432.9,4432.4,4446.925,4404.85,4447.0,sl,-14.6,-14.75,9.35,14.025,11.7758,1.0
2026-01-08 12:00:48.026507249,2026-01-08 12:39:33.701382395,GCG6,M15,-1,4427.4,4427.3,4435.575,4411.05,4435.7,sl,-8.4,-8.55,5.45,8.175,1.2633,-1.0
2026-01-08 12:04:50.949985194,2026-01-08 13:22:42.116643855,GCG6,M15,-1,4423.6,4423.3,4439.5,4391.8,4439.5,sl,-16.2,-16.35,10.6,15.9,4.3308,-1.0
2026-01-08 12:04:50.949985194,2026-01-08 12:41:39.983689859,GCG6,M15,-1,4423.6,4423.3,4437.25,4396.3,4437.3,sl,-14.0,-14.15,9.1,13.65,4.0808,-1.0
2026-01-08 15:05:57.337881708,2026-01-08 16:34:08.460716073,GCG6,M15,1,4448.4,4448.7,4437.75,4470.6,4470.6,tp,21.9,21.75,7.3,10.95,5.8493,-1.0
2026-01-08 17:02:06.054619580,2026-01-08 18:12:27.408408934,GCG6,M15,1,4475.2,4475.7,4461.5,4503.8,4461.5,sl,-14.2,-14.35,9.4,14.1,14.535,1.0
2026-01-08 20:25:40.241566109,2026-01-09 01:05:32.570521537,GCG6,M15,1,4475.8,4476.2,4467.175,4493.95,4467.0,sl,-9.2,-9.35,5.95,8.925,1.1778,-1.0
2026-01-08 20:27:01.989777947,2026-01-09 01:04:43.520931567,GCG6,M15,1,4478.4,4478.7,4468.125,4499.85,4468.0,sl,-10.7,-10.85,7.05,10.575,25.4506,1.0
2026-01-08 20:31:43.057755284,2026-01-09 00:25:33.231178539,GCG6,M15,1,4485.0,4485.2,4476.425,4502.75,4476.4,sl,-8.8,-8.95,5.85,8.775,33.7786,1.0
2026-01-09 09:20:23.354562106,2026-01-09 09:54:09.071222480,GCG6,M15,1,4486.0,4486.5,4479.5,4500.2,4479.5,sl,-7.0,-7.15,4.6,6.9,0.3398,1.0
2026-01-09 12:00:41.798362708,2026-01-09 12:21:05.085767277,GCG6,M15,1,4486.4,4486.6,4479.7,4500.4,4479.7,sl,-6.9,-7.05,4.6,6.9,0.5116,1.0
2026-01-09 12:33:04.440487721,2026-01-09 13:05:19.123823636,GCG6,M15,-1,4472.8,4472.8,4479.625,4459.15,4479.8,sl,-7.0,-7.15,4.55,6.825,1.5512,1.0
2026-01-09 13:32:37.910277896,2026-01-09 13:36:40.663635072,GCG6,H1,1,4493.7,4494.0,4488.125,4505.45,4488.1,sl,-5.9,-6.05,11.55,5.775,5.5439,1.0
2026-01-09 13:32:37.910277896,2026-01-09 15:21:05.731640129,GCG6,M15,1,4493.7,4494.0,4485.975,4510.05,4510.05,tp,16.05,15.9,5.35,8.025,12.2939,1.0
2026-01-09 15:21:26.550970393,2026-01-09 17:54:04.379010192,GCG6,H4,1,4512.4,4512.6,4497.575,4542.65,4497.5,sl,-15.1,-15.25,30.05,15.025,31.3574,-1.0
2026-01-12 13:07:49.294584665,2026-01-12 13:50:56.445311177,GCG6,M15,1,4609.6,4610.0,4601.8,4626.1,4626.1,tp,16.1,15.95,5.4,8.1,1.6304,1.0
2026-01-12 13:08:15.274302581,2026-01-12 23:12:10.365104392,GCG6,M15,1,4612.7,4613.0,4593.175,4652.35,4593.0,sl,-20.0,-20.15,13.15,19.725,10.1376,1.0
2026-01-12 13:08:15.274302581,2026-01-12 13:54:28.678511853,GCG6,H1,1,4612.7,4613.0,4604.725,4629.55,4629.55,tp,16.55,16.4,16.55,8.275,4.1376,1.0
2026-01-12 23:12:14.565578215,2026-01-12 23:51:18.654455835,GCG6,M15,-1,4587.6,4587.5,4599.6,4563.6,4599.6,sl,-12.1,-12.25,8.0,12.0,8.954,1.0
2026-01-13 01:31:52.289478684,2026-01-13 02:07:32.269214219,GCG6,M15,-1,4586.4,4586.4,4597.875,4563.45,4597.9,sl,-11.5,-11.65,7.65,11.475,0.2812,1.0
2026-01-13 06:41:45.309740902,2026-01-13 08:06:17.796645589,GCG6,M15,-1,4584.3,4584.2,4595.85,4561.2,4595.9,sl,-11.7,-11.85,7.7,11.55,2.9459,1.0
2026-01-13 13:08:13.083923975,2026-01-13 13:30:30.757442306,GCG6,M15,1,4605.4,4605.7,4597.075,4622.95,4622.95,tp,17.25,17.1,5.75,8.625,2.387,1.0
2026-01-13 13:12:50.653034626,2026-01-13 14:44:35.510555887,GCG6,M15,1,4611.2,4611.5,4600.475,4633.55,4633.55,tp,22.05,21.9,7.35,11.025,5.4641,1.0
2026-01-13 14:47:16.225357702,2026-01-13 15:02:02.693590185,GCG6,M15,1,4640.5,4640.8,4629.575,4662.65,4629.4,sl,-11.4,-11.55,7.35,11.025,20.2878,1.0
2026-01-13 14:47:16.237353090,2026-01-13 14:54:40.845774688,GCG6,H1,1,4640.5,4640.9,4632.45,4657.8,4632.4,sl,-8.5,-8.65,16.9,8.45,12.7878,1.0
2026-01-13 20:32:15.315655946,2026-01-13 23:15:24.282044184,GCG6,M15,-1,4589.5,4589.5,4603.825,4560.85,4603.9,sl,-14.4,-14.55,9.55,14.325,0.0376,1.0
2026-01-13 20:33:49.472375891,2026-01-13 23:07:47.759492973,GCG6,M15,-1,4586.2,4586.1,4601.35,4555.9,4601.7,sl,-15.6,-15.75,10.1,15.15,6.0637,1.0
2026-01-13 20:34:11.568898589,2026-01-13 20:40:19.550945182,GCG6,H1,-1,4582.8,4582.5,4589.7,4569.0,4590.0,sl,-7.5,-7.65,13.8,6.9,5.5699,1.0
2026-01-13 20:34:11.568898589,2026-01-13 20:43:20.205854952,GCG6,M15,-1,4582.8,4582.5,4594.2,4560.0,4594.3,sl,-11.8,-11.95,7.6,11.4,11.8199,1.0
2026-01-14 05:01:58.435593774,2026-01-14 14:39:57.183697012,GCG6,M15,1,4644.0,4644.6,4624.125,4684.65,4624.1,sl,-20.5,-20.65,13.45,20.175,12.0329,1.0
2026-01-14 05:01:58.435593774,2026-01-14 05:57:30.765388984,GCG6,H1,1,4644.0,4644.6,4630.6,4672.0,4630.5,sl,-14.1,-14.25,27.6,13.8,5.0329,1.0
2026-01-14 12:59:02.880220271,2026-01-14 13:14:05.597823589,GCG6,M15,1,4647.6,4648.5,4636.5,4670.7,4636.5,sl,-12.0,-12.15,7.6,11.4,5.2341,1.0
2026-01-14 14:39:56.444813100,2026-01-14 18:19:03.655748813,GCG6,M15,-1,4624.7,4624.7,4635.35,4603.4,4635.4,sl,-10.7,-10.85,7.1,10.65,6.6657,1.0
2026-01-14 23:41:09.811277173,2026-01-15 00:04:17.386949234,GCG6,M15,-1,4607.7,4607.7,4621.05,4581.0,4621.1,sl,-13.4,-13.55,8.9,13.35,3.9361,1.0
2026-01-15 01:24:15.491592747,2026-01-15 10:24:35.399504685,GCG6,M15,-1,4605.9,4605.6,4619.85,4578.0,4620.0,sl,-14.4,-14.55,9.3,13.95,8.1543,1.0
2026-01-15 01:24:15.491592747,2026-01-15 01:32:06.908942443,GCG6,H1,-1,4605.9,4605.6,4614.625,4588.45,4588.45,tp,17.15,17.0,17.45,8.725,0.4043,1.0
2026-01-15 10:12:33.975739967,2026-01-15 13:19:11.112074851,GCG6,M15,1,4618.0,4618.2,4609.5,4635.6,4609.4,sl,-8.8,-8.95,5.8,8.7,0.7094,-1.0
2026-01-15 13:47:39.090989632,2026-01-15 13:50:24.577962315,GCG6,M15,-1,4584.5,4584.4,4595.45,4562.6,4595.5,sl,-11.1,-11.25,7.3,10.95,8.0442,-1.0
2026-01-15 13:47:39.090989632,2026-01-15 13:48:16.523771659,GCG6,H1,-1,4584.5,4584.4,4591.275,4570.95,4591.4,sl,-7.0,-7.15,13.55,6.775,1.7942,1.0
2026-01-15 16:11:54.949627056,2026-01-15 16:25:13.183716509,GCG6,M15,1,4627.0,4627.5,4618.75,4644.4,4618.7,sl,-8.8,-8.95,5.7,8.55,2.4486,1.0
2026-01-16 00:46:35.380238407,2026-01-16 05:47:06.936312198,GCG6,M15,-1,4604.2,4604.2,4612.975,4586.65,4613.0,sl,-8.8,-8.95,5.85,8.775,1.2765,1.0
2026-01-16 11:46:09.595798463,2026-01-16 12:51:33.382906729,GCG6,M15,1,4620.2,4620.3,4606.275,4648.35,4606.2,sl,-14.1,-14.25,9.35,14.025,3.7693,-1.0
2026-01-16 13:16:42.902190760,2026-01-16 14:00:02.855567406,GCG6,M15,-1,4597.1,4597.1,4607.075,4577.15,4607.1,sl,-10.0,-10.15,6.65,9.975,4.2786,-1.0
2026-01-16 13:16:45.460985871,2026-01-16 13:34:28.029842319,GCG6,H1,-1,4594.6,4594.6,4600.275,4583.25,4600.7,sl,-6.1,-6.25,11.35,5.675,2.2793,-1.0
2026-01-16 13:16:45.460985871,2026-01-16 13:35:40.983989467,GCG6,M15,-1,4594.6,4594.6,4601.875,4580.05,4602.0,sl,-7.4,-7.55,4.85,7.275,8.5293,-1.0
2026-01-16 15:05:00.096820156,2026-01-16 15:19:56.709165242,GCG6,M15,1,4620.5,4621.3,4607.975,4646.45,4607.8,sl,-13.5,-13.65,8.55,12.825,1.0834,-1.0
2026-01-16 15:27:02.042442935,2026-01-16 15:29:51.747777088,GCG6,H1,-1,4584.0,4583.5,4591.65,4568.7,4568.7,tp,14.8,14.65,15.3,7.65,17.4506,1.0
2026-01-16 15:27:02.042442935,2026-01-16 15:33:37.306453277,GCG6,M15,-1,4584.0,4583.5,4599.975,4552.05,4552.05,tp,31.45,31.3,10.65,15.975,23.4506,1.0
2026-01-19 15:54:19.911044730,2026-01-19 23:28:01.138754862,GCG6,M15,1,4678.8,4679.1,4671.0,4695.3,4671.0,sl,-8.1,-8.25,5.4,8.1,0.1555,1.0
2026-01-19 18:22:20.129129521,2026-01-19 19:20:54.226949690,GCG6,M15,1,4684.3,4684.7,4675.9,4702.0,4675.8,sl,-8.9,-9.05,5.8,8.7,9.3723,1.0
2026-01-20 04:00:41.267951103,2026-01-20 04:59:13.321318670,GCG6,M15,1,4686.2,4686.5,4678.925,4701.65,4701.65,tp,15.15,15.0,5.05,7.575,4.0115,1.0
2026-01-20 04:42:04.632337869,2026-01-20 09:29:14.443283935,GCG6,M15,1,4698.0,4698.9,4678.425,4738.05,4738.05,tp,39.15,39.0,13.25,19.875,26.9513,1.0
2026-01-20 04:42:04.632337869,2026-01-20 05:34:44.118491190,GCG6,H1,1,4698.0,4698.9,4692.375,4710.15,4710.15,tp,11.25,11.1,11.85,5.925,20.7013,1.0
2026-01-20 13:59:55.334887668,2026-01-20 14:36:05.592668710,GCG6,M15,1,4742.9,4743.7,4734.8,4760.0,4734.6,sl,-9.1,-9.25,5.6,8.4,1.9987,1.0
2026-01-20 16:55:15.776329235,2026-01-21 00:59:00.732629609,GCG6,M15,1,4756.6,4756.9,4738.875,4792.65,4792.65,tp,35.75,35.6,11.95,17.925,0.171,1.0
2026-01-20 23:44:12.967458041,2026-01-21 01:01:10.579588135,GCG6,M15,1,4771.5,4771.8,4761.225,4792.95,4792.95,tp,21.15,21.0,7.05,10.575,2.2369,1.0
2026-01-21 13:37:54.958436858,2026-01-21 14:04:44.886894485,GCG6,M15,1,4879.4,4879.5,4870.2,4898.1,4870.0,sl,-9.5,-9.65,6.2,9.3,1.8819,1.0
2026-01-21 15:19:10.905979695,2026-01-21 15:53:51.624431375,GCG6,M15,-1,4835.2,4835.2,4851.475,4802.65,4852.0,sl,-16.8,-16.95,10.85,16.275,5.8197,1.0
2026-01-22 13:42:49.211065515,2026-01-22 13:52:25.269271445,GCG6,M15,-1,4815.3,4809.6,4823.925,4798.05,4824.0,sl,-14.4,-14.55,5.75,8.625,1.9637,1.0
2026-01-22 14:32:01.885544067,2026-01-22 15:34:22.800054265,GCG6,M15,1,4838.5,4838.8,4825.3,4865.8,4865.8,tp,27.0,26.85,9.0,13.5,0.5339,1.0
2026-01-22 14:32:40.166331119,2026-01-22 15:00:04.535794950,GCG6,M15,1,4841.1,4841.6,4831.9,4860.7,4826.8,sl,-14.8,-14.95,6.4,9.6,4.7945,1.0
2026-01-22 14:33:08.662443742,2026-01-22 17:22:53.987247640,GCG6,M15,1,4842.8,4843.7,4818.8,4891.7,4891.7,tp,48.0,47.85,16.2,24.3,13.5524,1.0
2026-01-22 15:28:59.872246954,2026-01-22 18:50:37.759031902,GCG6,M15,1,4857.2,4857.7,4826.15,4920.2,4920.2,tp,62.5,62.35,20.9,31.35,17.9833,1.0
2026-01-22 16:38:33.865911210,2026-01-22 23:04:00.166898014,GCG6,M15,1,4884.5,4884.7,4851.325,4951.45,4951.45,tp,66.75,66.6,22.25,33.375,24.3927,1.0
2026-01-22 17:22:53.987247640,2026-01-22 21:41:06.355796576,GCG6,M15,1,4891.1,4892.9,4866.775,4940.35,4940.35,tp,47.45,47.3,16.35,24.525,32.8817,1.0
2026-01-22 17:22:53.987247640,2026-01-22 21:42:40.890228609,GCG6,H4,1,4891.1,4892.9,4865.825,4942.55,4942.55,tp,49.65,49.5,51.15,25.575,1.3817,1.0
2026-01-22 17:22:53.987247640,2026-01-22 18:03:13.228395003,GCG6,H1,1,4891.1,4892.9,4882.15,4912.3,4912.3,tp,19.4,19.25,20.1,10.05,26.3817,1.0
2026-01-23 08:18:22.703696418,2026-01-23 08:23:33.723627551,GCG6,M15,-1,4939.5,4939.5,4946.775,4924.95,4924.95,tp,14.55,14.4,4.85,7.275,2.8063,1.0
2026-01-23 16:09:37.307270417,2026-01-25 23:00:00.573549629,GCG6,M15,1,4969.0,4969.2,4958.1,4991.4,4991.4,tp,22.2,22.05,7.4,11.1,8.1604,1.0
2026-01-23 16:09:44.688083550,2026-01-23 16:27:27.119375736,GCG6,H1,1,4970.0,4970.9,4961.775,4987.65,4987.65,tp,16.75,16.6,17.25,8.625,6.1624,1.0
2026-01-23 16:09:44.688083550,2026-01-25 23:00:00.573549629,GCG6,M15,1,4970.0,4970.9,4955.15,5000.6,5000.6,tp,29.7,29.55,10.1,15.15,12.9124,1.0
