ts_open,ts_close,dir,qty,entry,exit,sl,tp,reason,pnl_pts,pnl_usd,tag
1735806442548098527,1735807286145086999,-1,1,2643.2,2646.2,2646.125,2637.3499999999995,sl,-3.15,-315.0,L-Rev|M15|low@2643.20
1735821949010748614,1735822802087416905,1,1,2659.6,2655.5,2655.5250000000005,2667.45,sl,-4.25,-425.0,L-Rev|M15|high@2659.40
1735863434781940869,1735867444565446341,1,1,2674.3,2671.8,2671.95,2678.7,sl,-2.65,-265.0,L-Rev|M15|high@2674.10
1735863434781940869,1735888930048952166,1,1,2674.3,2669.2,2669.2000000000003,2684.5,sl,-5.25,-525.0,L-Rev|M15|high@2674.20
1735888839912328844,1735911484578839209,-1,1,2670.3,2660.55,2675.175,2660.55,tp,9.6,960.0,L-Rev|M15|low@2670.30
1735936108589869896,1736118000134124859,-1,1,2652.3,2645.7,2655.6000000000004,2645.7,tp,6.45,645.0,L-Rev|M15|low@2652.30
1736163173543581902,1736165516609518731,1,1,2661.1,2656.8,2656.9749999999995,2669.3500000000004,sl,-4.45,-445.0,L-Rev|M15|high@2661.00
1736170852409698619,1736173027578781687,-1,1,2635.6,2627.1500000000005,2641.325,2627.1500000000005,tp,8.3,830.0,L-Rev|M15|low@2636.60
1736209321089378194,1736211583457520761,-1,1,2643.7,2646.4,2646.3250000000003,2638.449999999999,sl,-2.85,-285.0,L-Rev|M15|low@2643.70
1736211606354871104,1736214517619761677,1,1,2648.3,2651.3499999999995,2646.175,2651.3499999999995,tp,2.9,290.0,L-Rev|M15|high@2647.80
1736227349632200788,1736236449322138053,1,1,2652.3,2649.6,2649.6749999999997,2657.5499999999997,sl,-2.85,-285.0,L-Rev|M15|high@2652.10
1736227353836178158,1736251668463020191,1,1,2652.8,2661.7999999999993,2648.3,2661.7999999999993,tp,8.85,885.0,L-Rev|M15|high@2652.70
1736253653988793811,1736256053106033618,1,1,2663.9,2673.9,2658.9,2673.9,tp,9.85,985.0,L-Rev|H1|high@2663.80
1736253654027527460,1736262447145036369,1,1,2664.3,2655.8,2655.8250000000007,2680.35,sl,-8.65,-865.0,L-Rev|M15|high@2663.80
1736300614134338558,1736315560572742676,-1,1,2661.3,2664.4,2664.375,2655.150000000001,sl,-3.25,-325.0,L-Rev|M15|low@2661.30
1736335603549027737,1736340592799782046,-1,1,2662.9,2665.9,2665.825,2657.0500000000006,sl,-3.15,-315.0,L-Rev|M15|low@2662.90
1736341286637965405,1736342987278929171,1,1,2669.4,2663.5,2665.65,2676.9,sl,-6.05,-605.0,L-Rev|M15|high@2669.30
1736397383290463479,1736398863526808540,-1,1,2674.3,2677.7,2677.675,2667.55,sl,-3.55,-355.0,L-Rev|M15|low@2674.30
1736405222745806639,1736409554401404269,1,1,2681.8,2679.0,2679.0750000000003,2686.9500000000003,sl,-2.95,-295.0,L-Rev|M15|high@2681.50
1736422044046565094,1736429116709553923,1,1,2687.4,2694.4,2683.45,2694.4,tp,6.85,685.0,L-Rev|H1|high@2687.00
1736441878570976835,1736447151007661130,-1,1,2686.0,2692.3,2692.3,2673.3999999999996,sl,-6.45,-645.0,L-Rev|M15|low@2686.00
1736463600121308614,1736463600123457188,1,1,2693.0,2692.45,2682.9249999999997,2692.45,tp,-0.7,-70.0,L-Rev|H1|high@2696.80
1736465271363194555,1736487549152754086,1,1,2693.8,2698.800000000001,2691.1499999999996,2698.800000000001,tp,4.85,485.0,L-Rev|M15|high@2693.50
1736422044046565094,1736487868905537199,1,1,2687.4,2700.25,2680.6749999999997,2700.25,tp,12.7,1270.0,L-Rev|M15|high@2687.00
1736475807388162753,1736515884447585564,1,1,2697.0,2689.7,2689.8,2711.3999999999996,sl,-7.45,-745.0,L-Rev|M15|high@2696.80
1736517322272008082,1736518684091701408,1,1,2712.0,2721.6499999999996,2706.575,2721.6499999999996,tp,9.5,950.0,L-Rev|M15|high@2711.40
1736771378577854795,1736773396515176092,-1,1,2686.9,2693.9,2693.85,2673.0,sl,-7.15,-715.0,L-Rev|H1|low@2686.90
1736792713330327276,1736810227104858415,-1,1,2679.6,2684.6,2684.55,2669.6999999999994,sl,-5.15,-515.0,L-Rev|M15|low@2679.60
