ts_open,ts_close,dir,qty,entry,exit,sl,tp,reason,pnl_pts,pnl_usd,tag
1672734678808198422,1672738172000871256,-1,1,1844.2,1847.4,1847.3500000000004,1837.8999999999996,sl,-3.35,-335.0,L-Rev|M15|low@1844.20
1672759980128707524,1672765218662523657,-1,1,1836.8,1840.5,1840.475,1829.4499999999998,sl,-3.85,-385.0,L-Rev|M15|low@1836.80
1672789251531452075,1672793607094954080,-1,1,1842.6,1845.2,1845.075,1837.6499999999996,sl,-2.75,-275.0,L-Rev|M15|low@1842.60
1672844954430009333,1672847020055333054,-1,1,1858.2,1863.6,1863.525,1847.5500000000002,sl,-5.55,-555.0,L-Rev|M15|low@1858.20
1672858997973892156,1672863947169055343,-1,1,1854.7,1860.3,1860.1,1843.9000000000003,sl,-5.75,-575.0,L-Rev|M15|low@1854.70
1672885461397507465,1672887496137190377,-1,1,1859.3,1862.0,1861.925,1854.05,sl,-2.85,-285.0,L-Rev|M15|low@1859.30
1672905325513143367,1672908394516722854,-1,1,1854.9,1849.3500000000004,1857.675,1849.3500000000004,tp,5.4,540.0,L-Rev|M15|low@1854.90
1672924500843655622,1672926792972348841,-1,1,1849.0,1841.1999999999996,1852.9,1841.1999999999996,tp,7.65,765.0,L-Rev|M15|low@1849.00
1672996263663261645,1673003362619375799,-1,1,1840.1,1842.9,1842.875,1834.5499999999995,sl,-2.95,-295.0,L-Rev|M15|low@1840.10
1673013366213972025,1673013879608327705,1,1,1856.8,1853.0,1853.125,1864.1499999999996,sl,-3.95,-395.0,L-Rev|M15|high@1856.70
1673017547681269601,1673021225484940406,1,1,1861.0,1869.0,1856.85,1869.0,tp,7.85,785.0,L-Rev|M15|high@1860.80
1673017703859888715,1673024650734672820,1,1,1864.4,1869.6499999999999,1861.7749999999999,1869.6499999999999,tp,5.1,510.0,L-Rev|M15|high@1864.30
1673244972786559093,1673246179393243035,1,1,1884.6,1882.6,1882.7000000000003,1888.1,sl,-2.15,-215.0,L-Rev|M15|high@1884.40
1673284558780159406,1673289191243304340,-1,1,1875.5,1879.1,1879.025,1868.4499999999998,sl,-3.75,-375.0,L-Rev|M15|low@1875.50
1673335889906386972,1673336279095665194,-1,1,1874.8,1876.9,1876.8999999999999,1870.6,sl,-2.25,-225.0,L-Rev|M15|low@1874.80
1673341617976423936,1673347281972608118,1,1,1880.8,1878.3,1878.325,1885.75,sl,-2.65,-265.0,L-Rev|M15|high@1880.60
1673354992149089632,1673357032563874394,-1,1,1874.7,1878.5,1878.4499999999998,1867.2000000000003,sl,-3.95,-395.0,L-Rev|M15|low@1874.70
1673359494431263772,1673359697002204589,1,1,1881.6,1878.9,1878.9,1886.9999999999998,sl,-2.85,-285.0,L-Rev|M15|high@1881.50
1673413643132681483,1673415700746372979,1,1,1882.8,1888.8000000000002,1879.7999999999997,1888.8000000000002,tp,5.85,585.0,L-Rev|M15|high@1882.70
1673426968725166577,1673439111800280057,1,1,1889.1,1885.5,1885.5749999999998,1896.15,sl,-3.75,-375.0,L-Rev|M15|high@1889.00
1673415308173964630,1673439138682475622,1,1,1887.3,1883.5,1883.5,1892.5,sl,-3.95,-395.0,L-Rev|H1|high@1886.40
1673415308173964630,1673439309432148097,1,1,1887.3,1882.7,1882.775,1893.9500000000003,sl,-4.75,-475.0,L-Rev|H4|high@1886.40
1673447812711871141,1673453849179010245,-1,1,1879.8,1871.8499999999997,1883.775,1871.8499999999997,tp,7.8,780.0,L-Rev|M15|low@1879.80
1673453849179010245,1673454321511427469,-1,1,1871.3,1873.7,1873.65,1868.7,sl,-2.55,-255.0,L-Rev|H1|low@1872.00
1673448642969792539,1673455886794684236,-1,1,1875.1,1878.1,1878.1,1869.1,sl,-3.15,-315.0,L-Rev|M15|low@1875.10
1673448404281005293,1673457292768226517,-1,1,1875.9,1878.9,1878.9,1870.7999999999997,sl,-3.15,-315.0,L-Rev|M15|low@1876.20
1673448644185024758,1673457293092356627,-1,1,1874.5,1879.0,1878.9250000000002,1866.5499999999997,sl,-4.65,-465.0,L-Rev|M15|low@1874.80
1673488274546277490,1673490819662059923,1,1,1882.9,1886.4999999999995,1881.1,1886.4999999999995,tp,3.45,345.0,L-Rev|M15|high@1882.80
1673516522059696920,1673517951247228351,1,1,1888.4,1886.8,1886.8249999999998,1891.5499999999997,sl,-1.75,-175.0,L-Rev|M15|high@1888.30
1673569512929075173,1673570650799549056,1,1,1903.9,1900.6,1900.6999999999998,1910.3,sl,-3.45,-345.0,L-Rev|H1|high@1906.50
1673621311447933512,1673631235569415037,1,1,1913.0,1919.6000000000004,1909.6999999999998,1919.6000000000004,tp,6.45,645.0,L-Rev|M15|high@1912.90
1673919461511667073,1673919512157069685,-1,1,1915.8,1916.7,1916.7,1914.0,sl,-1.05,-105.0,L-Rev|M15|low@1915.80
1673850477377478151,1673922707940188985,-1,1,1919.8,1913.8,1922.8,1913.8,tp,5.85,585.0,L-Rev|M15|low@1919.80
1673938222368047429,1673942739358876902,-1,1,1910.6,1913.4,1913.375,1905.0499999999997,sl,-2.95,-295.0,L-Rev|M15|low@1910.60
1673922686275715476,1673950503176748032,-1,1,1914.1,1907.7999999999997,1917.25,1907.7999999999997,tp,6.15,615.0,L-Rev|M15|low@1914.10
1673956829900829878,1673959436895547302,1,1,1915.8,1912.5,1912.575,1922.25,sl,-3.45,-345.0,L-Rev|M15|high@1915.70
1673982839202236467,1673983954502270192,-1,1,1906.8,1909.5,1909.425,1901.55,sl,-2.85,-285.0,L-Rev|M15|low@1906.80
1673982839202236467,1673984093187009936,-1,1,1906.8,1910.1,1910.025,1900.35,sl,-3.45,-345.0,L-Rev|H1|low@1906.80
1674009626574390432,1674015960652551174,-1,1,1906.2,1899.3000000000002,1909.65,1899.3000000000002,tp,6.75,675.0,L-Rev|M15|low@1906.20
1674046935399991507,1674047998291441687,1,1,1921.9,1919.7,1919.7999999999997,1926.1,sl,-2.35,-235.0,L-Rev|H1|high@1921.80
1674046259924284241,1674048601640095189,1,1,1919.7,1924.25,1917.275,1924.25,tp,4.4,440.0,L-Rev|H1|high@1919.50
1674046940161766683,1674049355213311975,1,1,1922.0,1918.9,1918.9999999999998,1928.0000000000005,sl,-3.25,-325.0,L-Rev|M15|high@1921.80
1674046259779638132,1674057309753282914,1,1,1919.6,1914.8,1914.875,1929.0499999999997,sl,-4.95,-495.0,L-Rev|M15|high@1919.50
1674091263578047593,1674096145530454739,-1,1,1904.2,1906.3,1906.225,1900.1500000000003,sl,-2.25,-225.0,L-Rev|M15|low@1904.20
1674110384566344891,1674111429341684050,1,1,1912.6,1910.1,1910.1999999999998,1917.4,sl,-2.65,-265.0,L-Rev|M15|high@1912.50
1674138017723394335,1674139780958623283,1,1,1918.6,1916.2,1916.2500000000002,1923.0000000000002,sl,-2.55,-255.0,L-Rev|M15|high@1918.40
1674223278405888148,1674223487215396118,-1,1,1924.8,1927.1,1927.0500000000002,1920.2999999999997,sl,-2.45,-245.0,L-Rev|M15|low@1924.80
1674223278405888148,1674224801586806770,-1,1,1924.8,1927.2,1927.15,1920.1,sl,-2.55,-255.0,L-Rev|H1|low@1924.80
